seq	citeUrn	ctsUrn	analysis	surfaceForm
1	urn:cite:fu:synTok_tlg0085_tlg003_fu.1	urn:cts:greekLit:tlg0085.tlg003.fu:1@Χθονὸς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.1	Χθονὸς
2	urn:cite:fu:synTok_tlg0085_tlg003_fu.2	urn:cts:greekLit:tlg0085.tlg003.fu:1@μὲν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.2	μὲν
3	urn:cite:fu:synTok_tlg0085_tlg003_fu.3	urn:cts:greekLit:tlg0085.tlg003.fu:1@ἐς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.3	ἐς
4	urn:cite:fu:synTok_tlg0085_tlg003_fu.4	urn:cts:greekLit:tlg0085.tlg003.fu:1@τηλουρὸν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.4	τηλουρὸν
5	urn:cite:fu:synTok_tlg0085_tlg003_fu.5	urn:cts:greekLit:tlg0085.tlg003.fu:1@ἥκομεν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.5	ἥκομεν
6	urn:cite:fu:synTok_tlg0085_tlg003_fu.6	urn:cts:greekLit:tlg0085.tlg003.fu:1@πέδον[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6	πέδον
7	urn:cite:fu:synTok_tlg0085_tlg003_fu.7	urn:cts:greekLit:tlg0085.tlg003.fu:1@,[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.7	,
8	urn:cite:fu:synTok_tlg0085_tlg003_fu.8	urn:cts:greekLit:tlg0085.tlg003.fu:2@Σκύθην[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.8	Σκύθην
9	urn:cite:fu:synTok_tlg0085_tlg003_fu.9	urn:cts:greekLit:tlg0085.tlg003.fu:2@ἐς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.9	ἐς
10	urn:cite:fu:synTok_tlg0085_tlg003_fu.10	urn:cts:greekLit:tlg0085.tlg003.fu:2@οἷμον[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.10	οἷμον
11	urn:cite:fu:synTok_tlg0085_tlg003_fu.11	urn:cts:greekLit:tlg0085.tlg003.fu:2@,[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.11	,
12	urn:cite:fu:synTok_tlg0085_tlg003_fu.12	urn:cts:greekLit:tlg0085.tlg003.fu:2@ἄβατον[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.12	ἄβατον
13	urn:cite:fu:synTok_tlg0085_tlg003_fu.13	urn:cts:greekLit:tlg0085.tlg003.fu:2@εἰς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.13	εἰς
14	urn:cite:fu:synTok_tlg0085_tlg003_fu.14	urn:cts:greekLit:tlg0085.tlg003.fu:2@ἐρημίαν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.14	ἐρημίαν
15	urn:cite:fu:synTok_tlg0085_tlg003_fu.15	urn:cts:greekLit:tlg0085.tlg003.fu:2@.[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.15	.
16	urn:cite:fu:synTok_tlg0085_tlg003_fu.16	urn:cts:greekLit:tlg0085.tlg003.fu:3@Ἥφαιστε[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.16	Ἥφαιστε
17	urn:cite:fu:synTok_tlg0085_tlg003_fu.17	urn:cts:greekLit:tlg0085.tlg003.fu:3@,[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.17	,
18	urn:cite:fu:synTok_tlg0085_tlg003_fu.18	urn:cts:greekLit:tlg0085.tlg003.fu:3@σοὶ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.18	σοὶ
19	urn:cite:fu:synTok_tlg0085_tlg003_fu.19	urn:cts:greekLit:tlg0085.tlg003.fu:3@δὲ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.19	δὲ
20	urn:cite:fu:synTok_tlg0085_tlg003_fu.20	urn:cts:greekLit:tlg0085.tlg003.fu:3@χρὴ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.20	χρὴ
21	urn:cite:fu:synTok_tlg0085_tlg003_fu.21	urn:cts:greekLit:tlg0085.tlg003.fu:3@μέλειν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.21	μέλειν
22	urn:cite:fu:synTok_tlg0085_tlg003_fu.22	urn:cts:greekLit:tlg0085.tlg003.fu:3@ἐπιστολὰς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.22	ἐπιστολὰς
23	urn:cite:fu:synTok_tlg0085_tlg003_fu.23	urn:cts:greekLit:tlg0085.tlg003.fu:4@ἅς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.23	ἅς
24	urn:cite:fu:synTok_tlg0085_tlg003_fu.24	urn:cts:greekLit:tlg0085.tlg003.fu:4@σοι[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.24	σοι
25	urn:cite:fu:synTok_tlg0085_tlg003_fu.25	urn:cts:greekLit:tlg0085.tlg003.fu:4@πατὴρ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.25	πατὴρ
26	urn:cite:fu:synTok_tlg0085_tlg003_fu.26	urn:cts:greekLit:tlg0085.tlg003.fu:4@ἐφεῖτο[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.26	ἐφεῖτο
27	urn:cite:fu:synTok_tlg0085_tlg003_fu.27	urn:cts:greekLit:tlg0085.tlg003.fu:4@,[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.27	,
28	urn:cite:fu:synTok_tlg0085_tlg003_fu.28	urn:cts:greekLit:tlg0085.tlg003.fu:4@τόνδε[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.28	τόνδε
29	urn:cite:fu:synTok_tlg0085_tlg003_fu.29	urn:cts:greekLit:tlg0085.tlg003.fu:4@πρὸς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.29	πρὸς
30	urn:cite:fu:synTok_tlg0085_tlg003_fu.30	urn:cts:greekLit:tlg0085.tlg003.fu:4@πέτραις[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.30	πέτραις
31	urn:cite:fu:synTok_tlg0085_tlg003_fu.31	urn:cts:greekLit:tlg0085.tlg003.fu:5@ὑψηλοκρήμνοις[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.31	ὑψηλοκρήμνοις
32	urn:cite:fu:synTok_tlg0085_tlg003_fu.32	urn:cts:greekLit:tlg0085.tlg003.fu:5@τὸν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.32	τὸν
33	urn:cite:fu:synTok_tlg0085_tlg003_fu.33	urn:cts:greekLit:tlg0085.tlg003.fu:5@λεωργὸν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.33	λεωργὸν
34	urn:cite:fu:synTok_tlg0085_tlg003_fu.34	urn:cts:greekLit:tlg0085.tlg003.fu:5@ὀχμάσαι[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.34	ὀχμάσαι
35	urn:cite:fu:synTok_tlg0085_tlg003_fu.35	urn:cts:greekLit:tlg0085.tlg003.fu:6@ἀδαμαντίνων[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.35	ἀδαμαντίνων
36	urn:cite:fu:synTok_tlg0085_tlg003_fu.36	urn:cts:greekLit:tlg0085.tlg003.fu:6@δεσμῶν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.36	δεσμῶν
37	urn:cite:fu:synTok_tlg0085_tlg003_fu.37	urn:cts:greekLit:tlg0085.tlg003.fu:6@ἐν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.37	ἐν
38	urn:cite:fu:synTok_tlg0085_tlg003_fu.38	urn:cts:greekLit:tlg0085.tlg003.fu:6@ἀρρήκτοις[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.38	ἀρρήκτοις
39	urn:cite:fu:synTok_tlg0085_tlg003_fu.39	urn:cts:greekLit:tlg0085.tlg003.fu:6@πέδαις[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.39	πέδαις
40	urn:cite:fu:synTok_tlg0085_tlg003_fu.40	urn:cts:greekLit:tlg0085.tlg003.fu:6@.[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.40	.
41	urn:cite:fu:synTok_tlg0085_tlg003_fu.41	urn:cts:greekLit:tlg0085.tlg003.fu:7@τὸ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.41	τὸ
42	urn:cite:fu:synTok_tlg0085_tlg003_fu.42	urn:cts:greekLit:tlg0085.tlg003.fu:7@σὸν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.42	σὸν
43	urn:cite:fu:synTok_tlg0085_tlg003_fu.43	urn:cts:greekLit:tlg0085.tlg003.fu:7@γὰρ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.43	γὰρ
44	urn:cite:fu:synTok_tlg0085_tlg003_fu.44	urn:cts:greekLit:tlg0085.tlg003.fu:7@ἄνθος[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.44	ἄνθος
45	urn:cite:fu:synTok_tlg0085_tlg003_fu.45	urn:cts:greekLit:tlg0085.tlg003.fu:7@,[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.45	,
46	urn:cite:fu:synTok_tlg0085_tlg003_fu.46	urn:cts:greekLit:tlg0085.tlg003.fu:7@παντέχνου[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.46	παντέχνου
47	urn:cite:fu:synTok_tlg0085_tlg003_fu.47	urn:cts:greekLit:tlg0085.tlg003.fu:7@πυρὸς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.47	πυρὸς
48	urn:cite:fu:synTok_tlg0085_tlg003_fu.48	urn:cts:greekLit:tlg0085.tlg003.fu:7@σέλας[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.48	σέλας
49	urn:cite:fu:synTok_tlg0085_tlg003_fu.49	urn:cts:greekLit:tlg0085.tlg003.fu:7@,[2]	urn:cite:fu:synTok_tlg0085_tlg003_fu.49	,
50	urn:cite:fu:synTok_tlg0085_tlg003_fu.50	urn:cts:greekLit:tlg0085.tlg003.fu:8@θνητοῖσι[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.50	θνητοῖσι
51	urn:cite:fu:synTok_tlg0085_tlg003_fu.51	urn:cts:greekLit:tlg0085.tlg003.fu:8@κλέψας[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.51	κλέψας
52	urn:cite:fu:synTok_tlg0085_tlg003_fu.52	urn:cts:greekLit:tlg0085.tlg003.fu:8@ὤπασεν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.52	ὤπασεν
53	urn:cite:fu:synTok_tlg0085_tlg003_fu.53	urn:cts:greekLit:tlg0085.tlg003.fu:8@.[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.53	.
54	urn:cite:fu:synTok_tlg0085_tlg003_fu.54	urn:cts:greekLit:tlg0085.tlg003.fu:8@τοιᾶσδέ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.54	τοιᾶσδέ
55	urn:cite:fu:synTok_tlg0085_tlg003_fu.55	urn:cts:greekLit:tlg0085.tlg003.fu:8@τοι[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.55	τοι
56	urn:cite:fu:synTok_tlg0085_tlg003_fu.56	urn:cts:greekLit:tlg0085.tlg003.fu:9@ἁμαρτίας[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.56	ἁμαρτίας
57	urn:cite:fu:synTok_tlg0085_tlg003_fu.57	urn:cts:greekLit:tlg0085.tlg003.fu:9@σφε[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.57	σφε
58	urn:cite:fu:synTok_tlg0085_tlg003_fu.58	urn:cts:greekLit:tlg0085.tlg003.fu:9@δεῖ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.58	δεῖ
59	urn:cite:fu:synTok_tlg0085_tlg003_fu.59	urn:cts:greekLit:tlg0085.tlg003.fu:9@θεοῖς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.59	θεοῖς
60	urn:cite:fu:synTok_tlg0085_tlg003_fu.60	urn:cts:greekLit:tlg0085.tlg003.fu:9@δοῦναι[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.60	δοῦναι
61	urn:cite:fu:synTok_tlg0085_tlg003_fu.61	urn:cts:greekLit:tlg0085.tlg003.fu:9@δίκην[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.61	δίκην
62	urn:cite:fu:synTok_tlg0085_tlg003_fu.62	urn:cts:greekLit:tlg0085.tlg003.fu:9@,[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.62	,
63	urn:cite:fu:synTok_tlg0085_tlg003_fu.63	urn:cts:greekLit:tlg0085.tlg003.fu:10@ὡς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.63	ὡς
64	urn:cite:fu:synTok_tlg0085_tlg003_fu.64	urn:cts:greekLit:tlg0085.tlg003.fu:10@ἂν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.64	ἂν
65	urn:cite:fu:synTok_tlg0085_tlg003_fu.65	urn:cts:greekLit:tlg0085.tlg003.fu:10@διδαχθῇ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.65	διδαχθῇ
66	urn:cite:fu:synTok_tlg0085_tlg003_fu.66	urn:cts:greekLit:tlg0085.tlg003.fu:10@τὴν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.66	τὴν
67	urn:cite:fu:synTok_tlg0085_tlg003_fu.67	urn:cts:greekLit:tlg0085.tlg003.fu:10@Διὸς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.67	Διὸς
68	urn:cite:fu:synTok_tlg0085_tlg003_fu.68	urn:cts:greekLit:tlg0085.tlg003.fu:10@τυραννίδα[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.68	τυραννίδα
69	urn:cite:fu:synTok_tlg0085_tlg003_fu.69	urn:cts:greekLit:tlg0085.tlg003.fu:11@στέργειν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.69	στέργειν
70	urn:cite:fu:synTok_tlg0085_tlg003_fu.70	urn:cts:greekLit:tlg0085.tlg003.fu:11@,[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.70	,
71	urn:cite:fu:synTok_tlg0085_tlg003_fu.71	urn:cts:greekLit:tlg0085.tlg003.fu:11@φιλανθρώπου[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.71	φιλανθρώπου
72	urn:cite:fu:synTok_tlg0085_tlg003_fu.72	urn:cts:greekLit:tlg0085.tlg003.fu:11@δὲ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.72	δὲ
73	urn:cite:fu:synTok_tlg0085_tlg003_fu.73	urn:cts:greekLit:tlg0085.tlg003.fu:11@παύεσθαι[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.73	παύεσθαι
74	urn:cite:fu:synTok_tlg0085_tlg003_fu.74	urn:cts:greekLit:tlg0085.tlg003.fu:11@τρόπου[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.74	τρόπου
75	urn:cite:fu:synTok_tlg0085_tlg003_fu.75	urn:cts:greekLit:tlg0085.tlg003.fu:11@.[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.75	.
76	urn:cite:fu:synTok_tlg0085_tlg003_fu.76	urn:cts:greekLit:tlg0085.tlg003.fu:12@Κράτος[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.76	Κράτος
77	urn:cite:fu:synTok_tlg0085_tlg003_fu.77	urn:cts:greekLit:tlg0085.tlg003.fu:12@Βία[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.77	Βία
78	urn:cite:fu:synTok_tlg0085_tlg003_fu.78	urn:cts:greekLit:tlg0085.tlg003.fu:12@τε[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.78	τε
79	urn:cite:fu:synTok_tlg0085_tlg003_fu.79	urn:cts:greekLit:tlg0085.tlg003.fu:12@,[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.79	,
80	urn:cite:fu:synTok_tlg0085_tlg003_fu.80	urn:cts:greekLit:tlg0085.tlg003.fu:12@σφῷν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.80	σφῷν
81	urn:cite:fu:synTok_tlg0085_tlg003_fu.81	urn:cts:greekLit:tlg0085.tlg003.fu:12@μὲν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.81	μὲν
82	urn:cite:fu:synTok_tlg0085_tlg003_fu.82	urn:cts:greekLit:tlg0085.tlg003.fu:12@ἐντολὴ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.82	ἐντολὴ
83	urn:cite:fu:synTok_tlg0085_tlg003_fu.83	urn:cts:greekLit:tlg0085.tlg003.fu:12@Διὸς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.83	Διὸς
84	urn:cite:fu:synTok_tlg0085_tlg003_fu.84	urn:cts:greekLit:tlg0085.tlg003.fu:13@ἔχει[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.84	ἔχει
85	urn:cite:fu:synTok_tlg0085_tlg003_fu.85	urn:cts:greekLit:tlg0085.tlg003.fu:13@τέλος[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.85	τέλος
86	urn:cite:fu:synTok_tlg0085_tlg003_fu.86	urn:cts:greekLit:tlg0085.tlg003.fu:13@δὴ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.86	δὴ
87	urn:cite:fu:synTok_tlg0085_tlg003_fu.87	urn:cts:greekLit:tlg0085.tlg003.fu:13@κοὐδὲν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.87	κοὐδὲν
88	urn:cite:fu:synTok_tlg0085_tlg003_fu.88	urn:cts:greekLit:tlg0085.tlg003.fu:13@ἐμποδὼν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.88	ἐμποδὼν
89	urn:cite:fu:synTok_tlg0085_tlg003_fu.89	urn:cts:greekLit:tlg0085.tlg003.fu:13@ἔτι[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.89	ἔτι
90	urn:cite:fu:synTok_tlg0085_tlg003_fu.90	urn:cts:greekLit:tlg0085.tlg003.fu:13@·[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.90	·
91	urn:cite:fu:synTok_tlg0085_tlg003_fu.91	urn:cts:greekLit:tlg0085.tlg003.fu:14@ἐγὼ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.91	ἐγὼ
92	urn:cite:fu:synTok_tlg0085_tlg003_fu.92	urn:cts:greekLit:tlg0085.tlg003.fu:14@δ᾽[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.92	δ᾽
93	urn:cite:fu:synTok_tlg0085_tlg003_fu.93	urn:cts:greekLit:tlg0085.tlg003.fu:14@ἄτολμός[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.93	ἄτολμός
94	urn:cite:fu:synTok_tlg0085_tlg003_fu.94	urn:cts:greekLit:tlg0085.tlg003.fu:14@εἰμι[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.94	εἰμι
95	urn:cite:fu:synTok_tlg0085_tlg003_fu.95	urn:cts:greekLit:tlg0085.tlg003.fu:14@συγγενῆ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.95	συγγενῆ
96	urn:cite:fu:synTok_tlg0085_tlg003_fu.96	urn:cts:greekLit:tlg0085.tlg003.fu:14@θεὸν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.96	θεὸν
97	urn:cite:fu:synTok_tlg0085_tlg003_fu.97	urn:cts:greekLit:tlg0085.tlg003.fu:15@δῆσαι[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.97	δῆσαι
98	urn:cite:fu:synTok_tlg0085_tlg003_fu.98	urn:cts:greekLit:tlg0085.tlg003.fu:15@βίᾳ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.98	βίᾳ
99	urn:cite:fu:synTok_tlg0085_tlg003_fu.99	urn:cts:greekLit:tlg0085.tlg003.fu:15@φάραγγι[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.99	φάραγγι
100	urn:cite:fu:synTok_tlg0085_tlg003_fu.100	urn:cts:greekLit:tlg0085.tlg003.fu:15@πρὸς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.100	πρὸς
101	urn:cite:fu:synTok_tlg0085_tlg003_fu.101	urn:cts:greekLit:tlg0085.tlg003.fu:15@δυσχειμέρῳ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.101	δυσχειμέρῳ
102	urn:cite:fu:synTok_tlg0085_tlg003_fu.102	urn:cts:greekLit:tlg0085.tlg003.fu:15@.[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.102	.
103	urn:cite:fu:synTok_tlg0085_tlg003_fu.103	urn:cts:greekLit:tlg0085.tlg003.fu:16@πάντως[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.103	πάντως
104	urn:cite:fu:synTok_tlg0085_tlg003_fu.104	urn:cts:greekLit:tlg0085.tlg003.fu:16@δ᾽[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.104	δ᾽
105	urn:cite:fu:synTok_tlg0085_tlg003_fu.105	urn:cts:greekLit:tlg0085.tlg003.fu:16@ἀνάγκη[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.105	ἀνάγκη
106	urn:cite:fu:synTok_tlg0085_tlg003_fu.106	urn:cts:greekLit:tlg0085.tlg003.fu:16@τῶνδέ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.106	τῶνδέ
107	urn:cite:fu:synTok_tlg0085_tlg003_fu.107	urn:cts:greekLit:tlg0085.tlg003.fu:16@μοι[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.107	μοι
108	urn:cite:fu:synTok_tlg0085_tlg003_fu.108	urn:cts:greekLit:tlg0085.tlg003.fu:16@τόλμαν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.108	τόλμαν
109	urn:cite:fu:synTok_tlg0085_tlg003_fu.109	urn:cts:greekLit:tlg0085.tlg003.fu:16@σχεθεῖν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.109	σχεθεῖν
110	urn:cite:fu:synTok_tlg0085_tlg003_fu.110	urn:cts:greekLit:tlg0085.tlg003.fu:16@·[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.110	·
111	urn:cite:fu:synTok_tlg0085_tlg003_fu.111	urn:cts:greekLit:tlg0085.tlg003.fu:17@ἐξωριάζειν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.111	ἐξωριάζειν
112	urn:cite:fu:synTok_tlg0085_tlg003_fu.112	urn:cts:greekLit:tlg0085.tlg003.fu:17@γὰρ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.112	γὰρ
113	urn:cite:fu:synTok_tlg0085_tlg003_fu.113	urn:cts:greekLit:tlg0085.tlg003.fu:17@πατρὸς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.113	πατρὸς
114	urn:cite:fu:synTok_tlg0085_tlg003_fu.114	urn:cts:greekLit:tlg0085.tlg003.fu:17@λόγους[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.114	λόγους
115	urn:cite:fu:synTok_tlg0085_tlg003_fu.115	urn:cts:greekLit:tlg0085.tlg003.fu:17@βαρύ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.115	βαρύ
116	urn:cite:fu:synTok_tlg0085_tlg003_fu.116	urn:cts:greekLit:tlg0085.tlg003.fu:17@.[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.116	.
117	urn:cite:fu:synTok_tlg0085_tlg003_fu.117	urn:cts:greekLit:tlg0085.tlg003.fu:18@τῆς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.117	τῆς
118	urn:cite:fu:synTok_tlg0085_tlg003_fu.118	urn:cts:greekLit:tlg0085.tlg003.fu:18@ὀρθοβούλου[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.118	ὀρθοβούλου
119	urn:cite:fu:synTok_tlg0085_tlg003_fu.119	urn:cts:greekLit:tlg0085.tlg003.fu:18@Θέμιδος[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.119	Θέμιδος
120	urn:cite:fu:synTok_tlg0085_tlg003_fu.120	urn:cts:greekLit:tlg0085.tlg003.fu:18@αἰπυμῆτα[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.120	αἰπυμῆτα
121	urn:cite:fu:synTok_tlg0085_tlg003_fu.121	urn:cts:greekLit:tlg0085.tlg003.fu:18@παῖ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.121	παῖ
122	urn:cite:fu:synTok_tlg0085_tlg003_fu.122	urn:cts:greekLit:tlg0085.tlg003.fu:18@,[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.122	,
123	urn:cite:fu:synTok_tlg0085_tlg003_fu.123	urn:cts:greekLit:tlg0085.tlg003.fu:19@ἄκοντά[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.123	ἄκοντά
124	urn:cite:fu:synTok_tlg0085_tlg003_fu.124	urn:cts:greekLit:tlg0085.tlg003.fu:19@σ᾽[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.124	σ᾽
125	urn:cite:fu:synTok_tlg0085_tlg003_fu.125	urn:cts:greekLit:tlg0085.tlg003.fu:19@ἄκων[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.125	ἄκων
126	urn:cite:fu:synTok_tlg0085_tlg003_fu.126	urn:cts:greekLit:tlg0085.tlg003.fu:19@δυσλύτοις[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.126	δυσλύτοις
127	urn:cite:fu:synTok_tlg0085_tlg003_fu.127	urn:cts:greekLit:tlg0085.tlg003.fu:19@χαλκεύμασι[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.127	χαλκεύμασι
128	urn:cite:fu:synTok_tlg0085_tlg003_fu.128	urn:cts:greekLit:tlg0085.tlg003.fu:20@προσπασσαλεύσω[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.128	προσπασσαλεύσω
129	urn:cite:fu:synTok_tlg0085_tlg003_fu.129	urn:cts:greekLit:tlg0085.tlg003.fu:20@τῷδ᾽[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.129	τῷδ᾽
130	urn:cite:fu:synTok_tlg0085_tlg003_fu.130	urn:cts:greekLit:tlg0085.tlg003.fu:20@ἀπανθρώπῳ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.130	ἀπανθρώπῳ
131	urn:cite:fu:synTok_tlg0085_tlg003_fu.131	urn:cts:greekLit:tlg0085.tlg003.fu:20@πάγῳ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.131	πάγῳ
132	urn:cite:fu:synTok_tlg0085_tlg003_fu.132	urn:cts:greekLit:tlg0085.tlg003.fu:21@ἵν᾽[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.132	ἵν᾽
133	urn:cite:fu:synTok_tlg0085_tlg003_fu.133	urn:cts:greekLit:tlg0085.tlg003.fu:21@οὔτε[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.133	οὔτε
134	urn:cite:fu:synTok_tlg0085_tlg003_fu.134	urn:cts:greekLit:tlg0085.tlg003.fu:21@φωνὴν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.134	φωνὴν
135	urn:cite:fu:synTok_tlg0085_tlg003_fu.135	urn:cts:greekLit:tlg0085.tlg003.fu:21@οὔτε[2]	urn:cite:fu:synTok_tlg0085_tlg003_fu.135	οὔτε
