seq	citeUrn	ctsUrn	analysis	surfaceForm
6942	urn:cite:fu:synTok_tlg0085_tlg003_fu.6942	urn:cts:greekLit:tlg0085.tlg003.fu:1071@προλέγω[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6942	προλέγω
6943	urn:cite:fu:synTok_tlg0085_tlg003_fu.6943	urn:cts:greekLit:tlg0085.tlg003.fu:1072@μη[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6943	μη
6944	urn:cite:fu:synTok_tlg0085_tlg003_fu.6944	urn:cts:greekLit:tlg0085.tlg003.fu:1072@δὲ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6944	δὲ
6945	urn:cite:fu:synTok_tlg0085_tlg003_fu.6945	urn:cts:greekLit:tlg0085.tlg003.fu:1072@πρὸς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6945	πρὸς
6946	urn:cite:fu:synTok_tlg0085_tlg003_fu.6946	urn:cts:greekLit:tlg0085.tlg003.fu:1072@ἄτης[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6946	ἄτης
6947	urn:cite:fu:synTok_tlg0085_tlg003_fu.6947	urn:cts:greekLit:tlg0085.tlg003.fu:1072@θηραθεῖσαι[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6947	θηραθεῖσαι
6948	urn:cite:fu:synTok_tlg0085_tlg003_fu.6948	urn:cts:greekLit:tlg0085.tlg003.fu:1073@μέμψησθε[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6948	μέμψησθε
6949	urn:cite:fu:synTok_tlg0085_tlg003_fu.6949	urn:cts:greekLit:tlg0085.tlg003.fu:1073@τύχην[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6949	τύχην
6950	urn:cite:fu:synTok_tlg0085_tlg003_fu.6950	urn:cts:greekLit:tlg0085.tlg003.fu:1073@,[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6950	,
6951	urn:cite:fu:synTok_tlg0085_tlg003_fu.6951	urn:cts:greekLit:tlg0085.tlg003.fu:1073@μη[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6951	μη
6952	urn:cite:fu:synTok_tlg0085_tlg003_fu.6952	urn:cts:greekLit:tlg0085.tlg003.fu:1073@δέ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6952	δέ
6953	urn:cite:fu:synTok_tlg0085_tlg003_fu.6953	urn:cts:greekLit:tlg0085.tlg003.fu:1073@ποτ᾽[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6953	ποτ᾽
6954	urn:cite:fu:synTok_tlg0085_tlg003_fu.6954	urn:cts:greekLit:tlg0085.tlg003.fu:1073@εἴπηθ᾽[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6954	εἴπηθ᾽
